chromosome,window_start,window_end,Azucena_CG,IR64_CG,Azucena_CHG,IR64_CHG,Azucena_CHH,IR64_CHH,recombination_rate
chr1,1,100000,1267,1180,366,351,36,43,0
chr1,100001,200000,1165,1438,290,535,71,65,0
chr1,200001,300000,1021,1292,350,379,66,62,0.235845508
chr1,300001,400000,1088,840,86,63,79,76,0
chr1,400001,500000,927,1198,242,311,41,111,0
chr1,500001,600000,895,1135,56,359,21,10,0.471691016
chr1,600001,700000,605,601,137,72,58,130,0.943382033
chr1,700001,800000,1131,1171,317,334,13,30,0
chr1,800001,900000,1373,1188,257,224,3,30,0
chr1,900001,1000000,978,780,250,108,39,77,0
chr1,1000001,1100000,874,1201,228,254,73,91,3.091136746
chr1,1100001,1200000,838,931,89,235,55,118,0.945628112
chr1,1200001,1300000,1101,1372,299,315,41,109,0.709782604
chr1,1300001,1400000,976,960,265,196,30,34,0.235845508
chr1,1400001,1500000,947,769,234,237,13,53,0.707536525
chr1,1500001,1600000,835,1121,245,355,84,99,0.235845508
chr1,1600001,1700000,566,654,145,181,129,210,0.471691016
chr1,1700001,1800000,871,1269,186,474,49,101,0
chr1,1800001,1900000,804,635,150,221,70,103,0.709782604
chr1,1900001,2000000,913,759,245,196,90,130,0.471691016
chr1,2000001,2100000,917,1138,371,403,116,266,0.707536525
chr1,2100001,2200000,913,738,163,162,130,136,1.650918558
chr1,2200001,2300000,733,614,94,97,29,15,1.179227541
chr1,2300001,2400000,1129,1059,304,256,45,123,0.235845508
chr1,2400001,2500000,905,1078,457,247,14,84,0
chr1,2500001,2600000,1206,1536,373,389,9,12,0
chr1,2600001,2700000,1117,567,210,157,53,53,0
chr1,2700001,2800000,1209,739,445,154,11,176,0
chr1,2800001,2900000,885,1078,285,348,34,55,0.473937096
chr1,2900001,3000000,1030,602,245,46,15,39,0
chr1,3000001,3100000,1048,1497,355,545,17,28,0.471691016
chr1,3100001,3200000,896,1546,211,283,24,18,0
chr1,3200001,3300000,1026,1105,321,186,31,62,0
chr1,3300001,3400000,1208,814,379,93,6,63,0
chr1,3400001,3500000,1184,1191,106,276,14,43,0
chr1,3500001,3600000,1080,661,165,54,69,119,0.235845508
chr1,3600001,3700000,744,1520,67,497,39,149,0.235845508
chr1,3700001,3800000,774,988,98,217,67,121,0.709782604
chr1,3800001,3900000,947,832,164,153,51,60,0.235845508
chr1,3900001,4000000,1083,1003,359,327,111,93,0.235845508
chr1,4000001,4100000,818,797,173,82,42,59,0.707536525
chr1,4100001,4200000,1061,1115,283,181,29,65,0.235845508
chr1,4200001,4300000,983,885,118,88,64,83,0
chr1,4300001,4400000,845,716,165,106,34,60,0
chr1,4400001,4500000,1215,933,344,217,17,130,0
chr1,4500001,4600000,943,862,88,119,26,99,0.235845508
chr1,4600001,4700000,994,782,67,241,41,175,0
chr1,4700001,4800000,554,912,162,325,43,168,0.471691016
chr1,4800001,4900000,1003,841,142,143,73,183,0.943382033
chr1,4900001,5000000,825,996,104,222,80,145,0.943382033
